2014-03-03 14:43:44 status half-configured catdvi 0.14-12
2014-03-03 14:43:44 status half-installed catdvi 0.14-12
2014-03-03 14:43:45 status triggers-pending man-db 2.6.1-2
2014-03-03 14:43:45 status half-installed catdvi 0.14-12
2014-03-03 14:43:45 status config-files catdvi 0.14-12
2014-03-03 14:43:45 status config-files catdvi 0.14-12
2014-03-03 14:43:45 status config-files catdvi 0.14-12
2014-03-03 14:43:45 status not-installed catdvi <none>
2014-03-03 14:43:45 trigproc man-db 2.6.1-2 <none>
2014-03-03 14:43:45 status half-configured man-db 2.6.1-2
2014-03-03 14:43:51 status installed man-db 2.6.1-2
2014-03-03 15:12:32 startup packages purge
2014-03-03 15:12:32 status installed cu 1.07-20build1
2014-03-03 15:12:36 remove cu 1.07-20build1 <none>
2014-03-03 15:12:36 status half-configured cu 1.07-20build1
2014-03-03 15:12:36 status half-installed cu 1.07-20build1
2014-03-03 15:12:36 status triggers-pending man-db 2.6.1-2
2014-03-03 15:12:37 status half-installed cu 1.07-20build1
2014-03-03 15:12:37 status config-files cu 1.07-20build1
2014-03-03 15:12:37 purge cu 1.07-20build1 <none>
2014-03-03 15:12:37 status config-files cu 1.07-20build1
2014-03-03 15:12:37 status config-files cu 1.07-20build1
2014-03-03 15:12:37 status config-files cu 1.07-20build1
2014-03-03 15:12:37 status config-files cu 1.07-20build1
2014-03-03 15:12:37 status config-files cu 1.07-20build1
2014-03-03 15:12:37 status not-installed cu <none>
2014-03-03 15:12:37 trigproc man-db 2.6.1-2 <none>
2014-03-03 15:12:37 status half-configured man-db 2.6.1-2
2014-03-03 15:12:44 status installed man-db 2.6.1-2
2014-03-03 15:14:12 startup packages purge
2014-03-03 15:14:12 status installed libxsltc-java 2.7.1-7
2014-03-03 15:14:13 remove libxsltc-java 2.7.1-7 <none>
2014-03-03 15:14:13 status half-configured libxsltc-java 2.7.1-7
2014-03-03 15:14:13 status half-installed libxsltc-java 2.7.1-7
2014-03-03 15:14:13 status config-files libxsltc-java 2.7.1-7
2014-03-03 15:14:13 status config-files libxsltc-java 2.7.1-7
2014-03-03 15:14:13 status config-files libxsltc-java 2.7.1-7
2014-03-03 15:14:13 status not-installed libxsltc-java <none>
2014-03-03 15:14:14 status installed cup 0.11a+20060608-3
2014-03-03 15:14:14 remove cup 0.11a+20060608-3 <none>
2014-03-03 15:14:14 status half-configured cup 0.11a+20060608-3
2014-03-03 15:14:14 status half-installed cup 0.11a+20060608-3
2014-03-03 15:14:14 status triggers-pending man-db 2.6.1-2
2014-03-03 15:14:14 status half-installed cup 0.11a+20060608-3
2014-03-03 15:14:14 status triggers-pending doc-base 0.10.3
2014-03-03 15:14:14 status half-installed cup 0.11a+20060608-3
2014-03-03 15:14:14 status config-files cup 0.11a+20060608-3
2014-03-03 15:14:14 status config-files cup 0.11a+20060608-3
2014-03-03 15:14:15 status config-files cup 0.11a+20060608-3
2014-03-03 15:14:15 status not-installed cup <none>
2014-03-03 15:14:15 trigproc man-db 2.6.1-2 <none>
2014-03-03 15:14:15 status half-configured man-db 2.6.1-2
2014-03-03 15:14:21 status installed man-db 2.6.1-2
2014-03-03 15:14:22 trigproc doc-base 0.10.3 <none>
2014-03-03 15:14:22 status half-configured doc-base 0.10.3
2014-03-03 15:14:24 status installed doc-base 0.10.3
2014-03-03 15:15:46 startup packages purge
2014-03-03 15:15:46 status installed cups-client 1.5.2-9ubuntu1
2014-03-03 15:15:48 remove cups-client 1.5.2-9ubuntu1 <none>
2014-03-03 15:15:48 status half-configured cups-client 1.5.2-9ubuntu1
2014-03-03 15:15:48 status half-installed cups-client 1.5.2-9ubuntu1
2014-03-03 15:15:48 status triggers-pending man-db 2.6.1-2
2014-03-03 15:15:48 status half-installed cups-client 1.5.2-9ubuntu1
