[rosmaster.master][INFO] 2012-12-18 21:05:13,302: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:05:16,931: +PUB [/rosout] /rosservice_13635_1355864716433 http://linaro-alip:39873/
[rosmaster.master][INFO] 2012-12-18 21:05:16,994: -PUB [/rosout] /rosservice_13635_1355864716433 http://linaro-alip:39873/
[rosmaster.master][INFO] 2012-12-18 21:05:17,014: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:05:17,021: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:18:04,667: +PUB [/rosout] /rosservice_13653_1355865484164 http://linaro-alip:56386/
[rosmaster.master][INFO] 2012-12-18 21:18:04,693: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:18:04,821: -PUB [/rosout] /rosservice_13653_1355865484164 http://linaro-alip:56386/
[rosmaster.master][INFO] 2012-12-18 21:18:04,898: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:18:07,806: +PUB [/rosout] /rosservice_13669_1355865487306 http://linaro-alip:57532/
[rosmaster.master][INFO] 2012-12-18 21:18:07,814: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:18:08,272: -PUB [/rosout] /rosservice_13669_1355865487306 http://linaro-alip:57532/
[rosmaster.master][INFO] 2012-12-18 21:18:08,318: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:01,391: +PUB [/rosout] /rosservice_13684_1355865660890 http://linaro-alip:59490/
[rosmaster.master][INFO] 2012-12-18 21:21:01,430: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:21:01,560: -PUB [/rosout] /rosservice_13684_1355865660890 http://linaro-alip:59490/
